Date,30327_listings,30312_listings,30327_cuts,30312_cuts,30327_price,30312_price,30327_ptr,30312_ptr
2015-08-31,351.0,155.0,15.5092592592593,10.5932203389831,1395000.0,227000.0,15.03,11.52
2015-09-30,359.0,145.0,18.2669789227166,15.0684931506849,1395000.0,225000.0,15.04,11.61
2015-10-31,341.0,125.0,12.6760563380282,10.7317073170732,1295000.0,234900.0,15.12,11.77
2015-11-30,323.0,125.0,10.8910891089109,12.2340425531915,1290000.0,247000.0,15.23,11.91
2015-12-31,312.0,122.0,6.05263157894737,9.6045197740113,1300000.0,239000.0,14.65,11.83
2016-01-31,283.0,88.0,10.7142857142857,7.51445086705202,1425000.0,249999.5,14.62,11.6
2016-02-29,297.0,85.0,9.48717948717949,11.0497237569061,1325000.0,245000.0,14.7,11.59
2016-03-31,354.0,104.0,15.5756207674944,7.31707317073171,1342000.0,234925.0,14.9,11.71
2016-04-30,359.0,91.0,18.5031185031185,8.69565217391304,1390000.0,250000.0,15.04,11.73
2016-05-31,372.0,103.0,16.5369649805447,8.69565217391304,1350000.0,293500.0,15.16,12.11
2016-06-30,392.0,133.0,17.9883945841393,10.5042016806723,1295000.0,299990.0,14.91,12.08
2016-07-31,380.0,121.0,15.6186612576065,10.0436681222707,1299000.0,299999.0,14.78,12.24
2016-08-31,380.0,139.0,18.5654008438819,11.6379310344828,1290000.0,309000.0,14.78,12.48
2016-09-30,373.0,117.0,18.7637969094923,12.6829268292683,1249000.0,305000.0,14.83,12.66
2016-10-31,360.0,97.0,18.2022471910112,9.74358974358974,1250000.0,317000.0,14.96,12.78
2016-11-30,345.0,89.0,13.2701421800948,9.30232558139535,1249500.0,287450.0,15.1,12.76
2016-12-31,296.0,72.0,9.11458333333333,7.43243243243243,1295000.0,279900.0,15.37,12.74
2017-01-31,292.0,73.0,16.5311653116531,7.5187969924812,1289500.0,284950.0,15.45,12.68
2017-02-28,327.0,91.0,13.8888888888889,9.3167701863354,1200000.0,289900.0,15.46,12.67
2017-03-31,378.0,92.0,15.3846153846154,11.3513513513514,1249000.0,299900.0,15.32,12.75
2017-04-30,388.0,89.0,18.0746561886051,6.11111111111111,1289900.0,319000.0,15.19,12.85
2017-05-31,402.0,103.0,18.6792452830189,8.994708994709,1249000.0,315000.0,15.11,13.0
2017-06-30,387.0,107.0,17.96875,13.5265700483092,1275000.0,303750.0,15.1,13.05
2017-07-31,368.0,106.0,18.7368421052632,9.66183574879227,1295000.0,299950.0,15.16,13.02
2017-08-31,373.0,117.0,19.375,12.4378109452736,1250000.0,329000.0,15.25,13.03
2017-09-30,334.0,86.0,17.5555555555556,10.9826589595376,1249900.0,343000.0,15.33,13.11
2017-10-31,319.0,97.0,16.8181818181818,8.69565217391304,1235000.0,359900.0,15.56,13.44
2017-11-30,299.0,92.0,14.7959183673469,9.65909090909091,1200000.0,359900.0,15.43,13.48
2017-12-31,247.0,79.0,5.15759312320917,7.23684210526316,1265000.0,365000.0,15.26,13.59
2018-01-31,264.0,100.0,11.0119047619048,9.43396226415094,1295000.0,367450.0,15.47,13.79
2018-02-28,253.0,95.0,11.3314447592068,8.60215053763441,1295000.0,369900.0,15.51,13.95
2018-03-31,297.0,78.0,17.2749391727494,5.41871921182266,1296500.0,388000.0,15.72,14.14
2018-04-30,332.0,89.0,18.9732142857143,5.5,1262500.0,389950.0,15.81,14.23
2018-05-31,353.0,103.0,19.5652173913043,9.67741935483871,1362500.0,390000.0,16.02,14.64
2018-06-30,318.0,107.0,19.205298013245,11.3445378151261,1395000.0,391500.0,16.09,14.85
2018-07-31,315.0,115.0,14.3192488262911,8.21428571428571,1396500.0,362400.0,15.8,14.72
2018-08-31,323.0,135.0,16.421568627451,10.5263157894737,1335000.0,359900.0,15.8,14.69
2018-09-30,300.0,116.0,18.0203045685279,15.4929577464789,1450000.0,380000.0,15.81,14.47
