,Zip Code,City,County,Median Listing Price - All Homes,Median Listing Price Per Square Foot - All Homes,Median Rental Price - All Homes,Median Rental Price Per Square Foot - All Homes,Median Sold Price - All Homes,Median Value Per Square Foot - All Homes,New Monthly Listings - NSA - All Homes,New Monthly Listings - SA - All Homes,Percent Of Homes Decreasing In Values - All Homes,Percent Of Homes Increasing In Values - All Homes,Percent Of Listings With Price Reductions - All Homes,Price To Rent Ratio - All Homes,Turnover - All Homes,Unsold Renos - All Homes,Zillow Home Value Index - All Homes,Zillow Rental Index - All Homes,pHisp_e,pNHBlack_e,pNH_AmInd_e,pNH_Asian_e,pNH_PacIsl_e,pNH_OthRace_e,pNH_TwoRace_e,% Minority
58,30144,Kennesaw,Cobb,255000.0,130.78491200000002,1575.0,0.896937509,191250.0,180.0,56.0,57.0,53.09,45.58,11.34453782,10.52,5.7266,59.8,243369.0,1546.0,11.9,19.7,0.4,4.6,0.0,0.6,3.2,40.4
59,30152,Kennesaw,Cobb,325000.0,136.2201201,1550.0,0.926248548,253590.0,127.0,73.0,59.0,73.9,24.65,12.08333333,8.75,5.6666,45.9,299345.0,1721.0,9.0,18.2,0.1,5.1,0.0,0.4,2.5,35.3
63,30002,Avondale Estates,Dekalb,565000.0,206.5741749,,,213035.2941,206.0,15.0,11.0,70.49,28.47,32.0754717,7.92,6.8934,58.6,388316.0,1869.0,3.8,33.8,0.0,4.2,0.0,0.7,2.3,44.8
65,30030,Decatur,Dekalb,485000.0,267.0286508,1550.0,1.484071428,435850.0,112.0,54.0,43.0,71.96,27.28,16.66666667,7.79,6.1084,45.3,505933.0,2273.0,4.0,22.3,0.4,5.1,0.0,0.4,3.0,35.2
67,30033,Decatur,Dekalb,420000.0,207.70308119999999,1795.0,1.331967213,282250.0,458.0,68.0,55.0,90.29,9.46,18.0,6.01,6.1047,72.0,363500.0,1843.0,6.7,12.2,0.4,14.9,0.0,0.1,3.4,37.7
79,30319,Atlanta,Dekalb,529400.0,238.54363109999997,2500.0,1.570336991,469485.0,435.0,124.0,95.0,86.52,13.03,11.25827815,6.87,6.7583,33.1,560972.0,2558.0,10.9,7.7,0.2,6.8,0.0,0.4,1.7,27.7
81,30338,Atlanta,Dekalb,465000.0,201.1986301,2250.0,1.19047619,417425.0,196.0,56.0,45.0,91.65,7.97,12.15469613,6.31,5.119,22.5,497474.0,2581.0,5.4,11.5,0.2,14.7,0.0,0.2,1.9,33.9
87,30017,Grayson,Gwinnett,295000.0,105.75276940000002,1495.0,0.722021661,205350.0,238.0,31.0,29.0,47.01,52.17,10.10638298,12.58,5.2693,72.3,278626.0,1669.0,5.8,31.7,0.5,5.3,0.0,0.1,2.0,45.4
88,30019,Dacula,Gwinnett,315900.0,112.51362150000001,1745.0,0.7427226029999999,215835.0,173.0,88.0,82.0,41.63,57.6,12.78195489,14.66,5.3264,77.3,284367.0,1690.0,10.5,22.3,0.3,4.3,0.0,0.0,2.6,40.0
89,30024,Suwanee,Gwinnett,399900.0,145.8590455,1900.0,0.7957292509999999,320850.0,316.0,144.0,120.0,58.81,40.31,13.16998469,11.55,5.5137,42.5,377060.0,1970.0,7.2,9.4,0.2,22.9,0.0,0.9,2.1,42.7
101,30518,Buford,Gwinnett,339900.0,135.3538051,1699.0,0.8562654890000001,220955.0,119.0,66.0,72.0,52.8,45.98,14.44444444,11.78,5.7943,66.8,276158.0,1646.0,21.6,10.8,0.0,8.1,0.0,0.0,3.0,43.5
102,30519,Buford,Gwinnett,349900.0,121.0712199,1700.0,0.735294118,233550.0,246.0,96.0,83.0,47.98,51.05,12.16494845,12.72,6.0797,75.0,281495.0,1661.0,13.2,15.6,0.1,8.8,0.0,0.0,2.6,40.3
103,30102,Acworth,Cherokee,269870.0,130.59906170000002,1550.0,0.84376881,176695.0,248.0,50.0,52.0,63.36,35.69,13.52459016,9.27,5.0142,16.0,235654.0,1511.0,13.2,10.6,0.2,2.4,0.0,0.4,1.7,28.5
104,30107,Ball Ground,Cherokee,299900.0,144.18754009999998,,,189160.0,310.0,35.0,27.0,64.77,34.51,10.218978100000001,8.28,5.0105,135.5,277534.0,1565.0,1.0,0.7,0.0,1.0,0.0,0.3,2.7,5.7
105,30114,Canton,Cherokee,319657.0,133.3445196,1580.0,0.803623894,238150.0,855.0,111.0,96.0,63.17,35.92,12.58992806,8.66,6.4125,96.8,292446.0,1625.0,16.9,6.5,0.0,1.6,0.0,0.1,1.8,26.9
106,30115,Canton,Cherokee,365452.5,140.6286295,1675.0,0.791849015,256765.0,335.0,109.0,82.0,76.56,22.92,13.67521368,6.44,5.3271,66.5,328103.0,1735.0,7.4,2.1,0.1,1.0,0.0,0.3,0.9,11.8
107,30183,Waleska,Cherokee,325000.0,150.2373418,,,225235.2941,926.0,16.0,13.0,41.56,57.37,8.771929825,14.9,1.7309,81.4,290752.0,1506.0,1.8,4.5,0.3,0.7,0.0,0.0,6.0,13.3
108,30188,Woodstock,Cherokee,369900.0,152.38401169999997,1547.5,0.96458469,203800.0,294.0,154.0,126.0,71.89,27.43,11.13243762,7.2,5.4722,53.0,281300.0,1612.0,9.0,8.5,0.1,2.5,0.0,0.4,2.3,22.8
109,30189,Woodstock,Cherokee,307000.0,144.2938347,1732.5,0.836952538,232605.0,319.0,50.0,49.0,80.62,18.94,12.03703704,5.13,5.5178,65.5,283545.0,1664.0,7.2,7.1,0.1,2.1,0.0,0.1,1.5,18.1
113,30187,Winston,Douglas,259900.0,121.4163531,,,121911.7647,116.0,13.0,12.0,62.03,36.52,15.47619048,8.41,3.7014,41.4,217956.0,1406.0,3.8,14.4,0.0,1.8,0.0,0.2,2.3,22.5
114,30205,Brooks,Fayette,561000.0,167.3151751,,,,419.0,12.0,11.0,67.64,31.97,,7.91,3.1436,25.9,367288.0,2011.0,1.2,2.2,1.3,1.3,0.0,0.0,1.1,7.1
116,30215,Fayetteville,Fayette,399949.5,135.21634619999998,1510.0,0.9127729809999999,231485.0,287.0,69.0,63.0,50.89,48.47,12.45551601,11.94,4.604,62.2,297103.0,1880.0,4.7,24.2,0.2,4.6,0.0,0.2,2.7,36.6
117,30269,Peachtree City,Fayette,387995.0,157.629256,2000.0,1.068616423,325960.0,252.0,56.0,43.0,12.35,87.45,10.0,37.72,5.7139999999999995,36.1,360427.0,2095.0,7.8,6.0,0.2,5.5,0.1,0.2,2.6,22.4
118,30290,Tyrone,Fayette,379000.0,142.9292003,,,301841.1765,125.0,13.0,11.0,41.52,58.07,17.64705882,17.64,4.297,43.7,338644.0,2093.0,6.5,27.2,0.9,2.1,0.0,0.3,1.2,38.2
128,30248,Locust Grove,Henry,235900.0,100.2555395,1447.0,0.7359763690000001,148895.0,99.0,58.0,55.0,26.15,72.94,9.840425532000001,16.85,6.7863,108.3,200900.0,1433.0,5.6,26.1,0.0,1.3,0.0,0.3,1.8,35.1
129,30252,Mcdonough,Henry,293945.0,105.73252749999999,1495.0,0.8199798220000001,196985.0,112.0,103.0,92.0,25.0,74.22,13.59223301,18.66,6.4435,86.1,246812.0,1577.0,5.4,23.8,0.1,1.2,0.0,0.3,2.5,33.3
