Code,Name
_ZHVI4B,Zillow Home Value Index - Four Bedrooms
_ZHVI5B,Zillow Home Value Index - Five Or More Bedrooms
_ZHVIAH,Zillow Home Value Index - All Homes
_ZHVIBT,Zillow Home Value Index - Bottom Tier
_ZHVIBTY,Zillow Home Value Index - Bottom Tier Year-Over-Year
_ZHVICO,Zillow Home Value Index - Condo
_ZHVIMT,Zillow Home Value Index - Middle Tier
_ZHVIMTY,Zillow Home Value Index - Middle Tier - Year-Over-Year
_ZHVISF,Zillow Home Value Index - Single-Family Residence
_ZHVITT,Zillow Home Value Index - Top Tier
_ZHVITTY,Zillow Home Value Index - Top Tier - Year-Over-Year
_ZMTY,ZRI - Middle Tier YOY
_ZRIAH,Zillow Rental Index - All Homes
_ZRIAHMF,Zillow Rental Index - All Homes Plus Multi-Family
_ZRIFAH,Zillow Rental Index Per Square Foot - All Homes
_ZRIMFRR,Zillow Rental Index - Multi-Family Residence
_ZRISFRR,Zillow Rental Index - Single-Family Residence
_ZTTY,ZRI - Top Tier YOY
